,película,año,imdb,metascore,votos
1740,Mad Money,(2008),5.9,41,22369
1741,Üç Maymun,(2008),7.3,73,22340
1742,"War, Inc.",(2008),5.5,37,22315
1743,Last Chance Harvey,(2008),6.6,57,22114
1744,Bastardos Sin Gloria,(2009),8.3,69,1517915
1745,Avatar,(2009),7.9,83,1358420
1746,Up,(2009),8.3,88,1086155
1747,Qué pasó Ayer,(2009),7.7,73,818268
1748,District 9,(2009),7.9,81,700816
1749,Sherlock Holmes,(2009),7.6,57,653976
1750,Star Trek,(2009),7.9,82,613424
1751,Zombieland,(2009),7.6,73,601972
1752,Harry Potter and the Half-Blood Prince,(2009),7.6,78,572261
1753,Watchmen,(2009),7.6,56,568284
1754,(500) Days of Summer,(2009),7.7,76,538104
1755,X-Men Origins: Wolverine,(2009),6.5,40,519703
1756,Transformers: Revenge of the Fallen,(2009),5.9,35,420604
1757,3 Idiots,(2009),8.4,67,416593
1758,2012,(I) (2009),5.8,49,389260
1759,Terminator Salvation,(2009),6.5,49,371456
1760,Moon,(2009),7.8,67,369267
1761,The Blind Side,(2009),7.6,53,349997
1762,Up in the Air,(I) (2009),7.4,83,344208
1763,The Proposal,(I) (2009),6.7,48,343421
1764,Public Enemies,(2009),7.0,70,312039
1765,Law Abiding Citizen,(2009),7.4,34,309791
1766,Angels & Demons,(2009),6.7,48,303099
1767,Fast & Furious,(2009),6.5,46,302396
1768,The Twilight Saga: New Moon,(2009),4.8,44,293185
1769,Ice Age: Dawn of the Dinosaurs,(2009),6.9,50,256423
1770,Fantastic Mr. Fox,(2009),7.9,83,254534
1771,Coraline,(2009),7.7,80,249221
1772,Cloudy with a Chance of Meatballs,(2009),6.9,66,248136
1773,The Road,(I) (2009),7.2,64,248083
1774,La huérfana,(2009),7.0,42,242963
1775,Knowing,(2009),6.2,41,242356
1776,Mr. Nobody,(2009),7.7,63,240921
1777,The Ugly Truth,(2009),6.4,28,225874
1778,Los hombres que no amaban a las mujeres,(2009),7.8,76,220533
1779,El secreto de sus ojos,(2009),8.2,80,216360
1780,"I Love You, Man",(2009),7.0,70,213303
1781,G.I. Joe: The Rise of Cobra,(2009),5.7,32,212848
1782,Drag Me to Hell,(2009),6.6,83,211788
1783,17 Again,(2009),6.4,48,210198
1784,Night at the Museum: Battle of the Smithsonian,(2009),6.0,42,206470
1785,The Taking of Pelham 123,(2009),6.4,55,203769
1786,He's Just Not That Into You,(2009),6.4,47,179058
1787,Surrogates,(2009),6.3,45,178370
1788,The Lovely Bones,(2009),6.6,42,175621
1789,Monsters vs. Aliens,(2009),6.4,56,171109
1790,Adventureland,(2009),6.8,76,165354
1791,Underworld: Rise of the Lycans,(2009),6.5,44,164908
1792,Invictus,(2009),7.3,74,164672
1793,The Princess and the Frog,(2009),7.1,73,158110
1794,Pandorum,(2009),6.7,28,156013
1795,State of Play,(2009),7.1,64,155970
1796,Crank: High Voltage,(2009),6.1,41,155303
1797,The Time Traveler's Wife,(2009),7.1,47,155122
1798,The Imaginarium of Doctor Parnassus,(2009),6.8,65,152255
1799,Brüno,(2009),5.9,54,151918
1800,A Serious Man,(2009),7.0,88,147002
1801,The Invention of Lying,(2009),6.3,58,146017
1802,9,(I) (2009),7.0,60,144280
1803,Jennifer's Body,(2009),5.4,47,143698
1804,Brothers,(I) (2009),7.1,58,138667
1805,Gamer,(2009),5.7,27,138025
1806,An Education,(2009),7.3,85,136687
1807,The Men Who Stare at Goats,(2009),6.2,54,135744
1808,Daybreakers,(2009),6.4,57,132622
1809,Antichrist,(2009),6.5,49,132441
1810,Julie & Julia,(2009),7.0,66,125600
1811,Navidad divertida de Scrooge,(2009),6.8,55,123516
1812,Funny People,(2009),6.3,60,122176
1813,Saw VI,(2009),6.0,30,117912
1814,A Single Man,(2009),7.5,77,115788
1815,Paul Blart: Mall Cop,(2009),5.2,39,114577
1816,Precious,(II) (2009),7.3,78,114290
1817,The Boat That Rocked,(2009),7.3,58,114283
1818,Push,(2009),6.1,36,114182
1819,Friday the 13th,(2009),5.5,34,112948
1820,Couples Retreat,(2009),5.5,23,112411
1821,Bride Wars,(2009),5.5,24,112286
1822,The Final Destination,(2009),5.1,30,111405
1823,Where the Wild Things Are,(2009),6.7,71,107243
1824,Kynodontas,(2009),7.2,73,102516
1825,Year One,(2009),4.9,34,101439
1826,Un prophète,(2009),7.8,90,100715
1827,Splice,(2009),5.8,66,100352
1828,I Love You Phillip Morris,(2009),6.6,65,98332
1829,The International,(I) (2009),6.5,52,98004
1830,The Last House on the Left,(2009),6.5,42,97467
1831,Flickan som lekte med elden,(2009),7.1,66,97262
1832,My Sister's Keeper,(2009),7.3,51,96350
1833,It's Complicated,(2009),6.5,57,96313
1834,The Box,(I) (2009),5.6,47,93912
1835,Crazy Heart,(2009),7.2,83,92930
1836,Ghosts of Girlfriends Past,(2009),5.8,34,92754
1837,Case 39,(2009),6.2,25,91121
1838,Harry Brown,(2009),7.2,55,89941
1839,Enter the Void,(2009),7.2,69,85094
1840,The Human Centipede (First Sequence),(2009),4.4,33,83940
1841,The Uninvited,(2009),6.3,43,83232
1842,Confessions of a Shopaholic,(2009),5.8,38,81458
1843,The Fourth Kind,(2009),5.9,34,80188
1844,Enemigo interno,(2009),6.6,69,79606
1845,Dragonball Evolution,(2009),2.5,45,77650
1846,[Rec]²,(2009),6.5,52,76525
1847,Chloe,(2009),6.3,48,76205
1848,Das weiße Band - Eine deutsche Kindergeschichte,(2009),7.8,84,76008
1849,Whatever Works,(2009),7.1,45,75877
1850,Youth in Revolt,(2009),6.4,63,75470
1851,Solomon Kane,(2009),6.1,48,75244
1852,A Perfect Getaway,(2009),6.5,63,75175
1853,Ninja Assassin,(2009),6.3,34,74249
1854,Land of the Lost,(2009),5.3,32,73716
1855,Luftslottet som sprängdes,(2009),7.3,60,73473
1856,Agora,(2009),7.1,55,71842
1857,The Collector,(I) (2009),6.3,29,69510
1858,Whip It,(2009),6.9,68,69355
1859,Død snø,(2009),6.3,61,68908
1860,Madeo,(2009),7.7,79,68672
1861,The Informant!,(2009),6.5,66,66449
1862,The Boondock Saints II: All Saints Day,(2009),6.2,24,66025
1863,Brooklyn's Finest,(2009),6.7,43,65461
1864,The Young Victoria,(2009),7.2,64,64966
1865,Observe and Report,(2009),5.7,54,64360
1866,Fish Tank,(2009),7.3,81,64074
1867,The Haunting in Connecticut,(2009),5.8,33,63878
1868,Everybody's Fine,(2009),7.1,47,63059
1869,Valhalla Rising,(2009),6.0,61,62501
1870,Race to Witch Mountain,(2009),5.7,52,61823
1871,In the Loop,(2009),7.4,83,60322
1872,Fanboys,(2009),6.5,45,60283
1873,My Bloody Valentine,(2009),5.4,51,58869
1874,Halloween II,(2009),4.8,35,57780
1875,Planet 51,(2009),6.0,39,57386
1876,Darbareye Elly,(2009),7.9,87,55724
1877,The Soloist,(2009),6.7,61,54807
1878,Away We Go,(2009),7.0,58,54579
1879,The Unborn,(2009),4.7,30,52780
1880,Alvin and the Chipmunks: The Squeakquel,(2009),4.5,41,52412
1881,Duplicity,(2009),6.1,69,51677
1882,Black Dynamite,(2009),7.4,65,50760
1883,The Cove,(2009),8.4,84,50702
1884,Bakjwi,(2009),7.1,73,49750
1885,Extract,(2009),6.1,61,49709
1886,The House of the Devil,(2009),6.3,73,49533
1887,G-Force,(2009),5.1,41,48712
1888,Cirque du Freak: The Vampire's Assistant,(2009),5.8,43,47422
1889,The Pink Panther 2,(2009),5.6,36,47076
1890,Banlieue 13: Ultimatum,(2009),6.5,64,45688
1891,Fired Up!,(2009),6.1,31,45368
1892,Notorious,(2009),6.7,60,45354
1893,The Damned United,(2009),7.5,81,45137
1894,Nine,(2009),5.8,49,44786
1895,Hannah Montana: The Movie,(2009),4.6,47,44517
1896,All About Steve,(2009),4.8,17,43581
1897,Capitalism: A Love Story,(2009),7.4,61,43523
1898,The Loved Ones,(2009),6.6,73,42825
1899,Los abrazos rotos,(2009),7.2,76,42034
1900,Did You Hear About the Morgans?,(2009),4.9,27,41922
1901,Coco avant Chanel,(2009),6.7,65,41478
1902,This Is It,(2009),7.2,67,41314
1903,The Joneses,(2009),6.4,55,41305
1904,Spread,(2009),5.8,43,41211
1905,Después de la vida,(2009),5.9,36,40109
1906,World's Greatest Dad,(I) (2009),6.9,69,40088
1907,Soul Kitchen,(2009),7.2,76,39669
1908,Old Dogs,(I) (2009),5.3,19,39006
1909,Astro Boy,(2009),6.2,53,38699
1910,Middle Men,(2009),6.8,60,38104
1911,Mi nombre es John Lennon,(2009),7.1,67,38086
1912,The Secret of Kells,(2009),7.5,81,37286
1913,Defendor,(2009),6.7,57,37277
1914,The Stepfather,(2009),5.6,33,37221
1915,"I Love You, Beth Cooper",(2009),5.3,32,36816
1916,The Messenger,(I) (2009),7.1,77,36114
1917,Adam,(I) (2009),7.1,56,35368
1918,Fighting,(2009),5.6,61,33883
1919,Un Amor Inesperado,(2009),5.6,33,33663
1920,Sin nombre,(2009),7.5,77,33639
1921,Obsessed,(2009),5.0,25,33323
1922,City Island,(2009),7.4,66,32215
1923,Sorority Row,(2009),5.1,24,31805
1924,Armored,(2009),5.7,50,31450
1925,Samâ uôzu,(2009),7.4,63,30992
1926,Micmacs à tire-larigot,(2009),7.1,62,30919
1927,J'ai tué ma mère,(2009),7.4,77,30855
1928,12 Rounds,(2009),5.6,38,29944
1929,Taking Woodstock,(2009),6.7,55,29731
1930,Bright Star,(2009),6.9,81,28278
1931,Leaves of Grass,(2009),6.4,58,27634
1932,The Disappearance of Alice Creed,(2009),6.7,65,27251
1933,El origen,(2010),8.8,74,2458052
1934,Shutter Island,(2010),8.2,63,1388570
1935,Toy Story 3,(2010),8.3,92,866781
1936,Iron Man 2,(2010),6.9,57,846604
1937,Black Swan,(2010),8.0,79,797473
1938,How to Train Your Dragon,(2010),8.1,75,772633
1939,La red social,(2010),7.8,95,733079
1940,El discurso del rey,(2010),8.0,88,696104
1941,Kick-Ass,(2010),7.6,66,580558
1942,Harry Potter y las reliquias de la muerte (parte 1),(2010),7.7,65,575937
1943,Despicable Me,(2010),7.6,72,567062
1944,Tangled,(2010),7.7,71,476107
1945,Scott Pilgrim vs. the World,(2010),7.5,69,447136
1946,Alice in Wonderland,(I) (2010),6.4,53,429574
1947,Easy A,(2010),7.0,72,405800
1948,The Town,(2010),7.5,74,405139
1949,127 Hours,(2010),7.5,82,391015
1950,The Fighter,(I) (2010),7.8,79,380543
1951,The Expendables,(2010),6.4,45,356038
1952,Todo un parto,(2010),6.5,51,352541
1953,True Grit,(2010),7.6,80,350098
1954,Tron,(2010),6.8,49,348291
1955,The Book of Eli,(2010),6.8,53,329811
1956,Insidious,(I) (2010),6.8,52,327789
1957,Salt,(2010),6.4,65,324082
1958,RED,(2010),7.0,60,317704
1959,Prince of Persia: The Sands of Time,(2010),6.6,50,298250
1960,Clash of the Titans,(2010),5.8,39,288628
1961,Megamind,(2010),7.3,63,281779
1962,The Other Guys,(2010),6.6,64,280428
1963,Robin Hood,(2010),6.6,53,277177
1964,The A-Team,(2010),6.7,47,265128
1965,Grown Ups,(I) (2010),6.0,30,264472
1966,The Twilight Saga: Eclipse,(2010),5.1,58,254292
1967,The Tourist,(I) (2010),6.0,37,251201
1968,Predators,(2010),6.4,51,238936
1969,Shrek Forever After,(2010),6.3,58,217518
1970,Love & Other Drugs,(2010),6.7,55,214685
1971,Triste San Valentín,(2010),7.3,81,205518
1972,Knight and Day,(2010),6.3,46,205346
1973,Unstoppable,(2010),6.8,69,203515
1974,Los próximos tres dias,(2010),7.3,52,201920
1975,Machete,(2010),6.6,60,201545
1976,The Karate Kid,(2010),6.2,61,197251
1977,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,47,195610
1978,Tucker and Dale vs Evil,(2010),7.5,65,187984
1979,Incendies,(2010),8.3,80,187970
1980,Misión Rockstar,(2010),6.3,65,183243
1981,Hot Tub Time Machine,(2010),6.4,63,181682
1982,Resident Evil: Afterlife,(2010),5.8,37,176212
1983,The Last Airbender,(2010),4.0,20,168510
1984,The Ghost Writer,(2010),7.2,77,168286
1985,Date Night,(2010),6.3,56,168239
1986,The Sorcerer's Apprentice,(2010),6.1,46,167030
1987,Buried,(2010),7.0,65,165692
1988,The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),6.3,53,161393
1989,Dear John,(I) (2010),6.3,43,154559
1990,Devil,(2010),6.3,44,152929
1991,Remember Me,(I) (2010),7.1,40,152421
1992,Never Let Me Go,(2010),7.1,69,150107
1993,Lazos de sangre,(2010),7.1,90,146760
1994,It's Kind of a Funny Story,(2010),7.1,63,146292
1995,She's Out of My League,(2010),6.4,46,141146
1996,Green Zone,(2010),6.8,63,140764
1997,Ang-ma-reul bo-at-da,(2010),7.8,67,139580
1998,Life as We Know It,(2010),6.5,39,136384
1999,The Kids Are All Right,(2010),7.0,86,133005
2000,The Bounty Hunter,(I) (2010),5.5,22,131939
2001,The Crazies,(2010),6.5,56,126308
2002,Let Me In,(I) (2010),7.1,79,125140
2003,Valentine's Day,(I) (2010),5.7,34,123025
2004,From Paris with Love,(2010),6.4,42,120012
2005,Camino a la libertad,(I) (2010),7.3,66,119922
2006,Little Fockers,(2010),5.5,27,116535
2007,My Name Is Khan,(2010),7.9,50,111924
2008,Faster,(2010),6.4,44,110535
2009,Loco por ella,(I) (2010),6.1,52,110008
2010,Dinner for Schmucks,(2010),5.9,56,109475
2011,Repo Men,(2010),6.3,32,109428
2012,The Wolfman,(2010),5.8,43,109203
2013,Yip Man 2,(2010),7.5,67,109030
2014,Legion,(2010),5.3,32,108808
2015,Leap Year,(2010),6.4,33,108481
2016,Paranormal Activity 2,(2010),5.7,53,107784
2017,The Losers,(I) (2010),6.2,44,105227
2018,Wall Street: Money Never Sleeps,(2010),6.2,59,105139
2019,Letters to Juliet,(2010),6.5,50,104684
2020,A Nightmare on Elm Street,(2010),5.2,35,104488
2021,Saw 3D,(2010),5.5,24,103370
2022,Eat Pray Love,(2010),5.8,50,102590
2023,El ocaso de un asesino,(2010),6.3,61,100466
2024,Arrietty y el mundo de los diminutos,(2010),7.6,80,98674
2025,Edge of Darkness,(2010),6.6,55,97064
2026,Monsters,(2010),6.4,63,95130
2027,Piranha 3D,(2010),5.5,53,94807
2028,Flipped,(I) (2010),7.7,45,94433
2029,Killers,(2010),5.4,21,94385
2030,Hereafter,(2010),6.5,56,94384
2031,Submarine,(2010),7.3,76,94307
2032,Beginners,(2010),7.2,81,93865
2033,Biutiful,(2010),7.4,58,93231
2034,Skyline,(2010),4.5,26,91349
2035,The Last Song,(2010),6.0,33,90820
2036,Burlesque,(I) (2010),6.4,47,90429
2037,Cop Out,(2010),5.5,31,89567
2038,I Spit on Your Grave,(2010),6.2,27,89370
2039,Legend of the Guardians: The Owls of Ga'Hoole,(2010),6.9,53,85785
2040,Tropa de Elite 2: O Inimigo Agora é Outro,(2010),8.0,71,85244
2041,Centurion,(2010),6.3,62,84876
2042,Super,(I) (2010),6.7,50,82602
2043,Sex and the City 2,(2010),4.5,27,82396
2044,Four Lions,(2010),7.3,68,82313
2045,Morning Glory,(2010),6.5,57,81142
2046,Frozen,(I) (2010),6.2,43,77852
2047,Trolljegeren,(2010),6.9,61,77805
2048,Inside Job,(2010),8.2,88,77503
2049,Senna,(2010),8.5,79,73429
2050,Gulliver's Travels,(2010),4.9,33,72018
2051,The Debt,(I) (2010),6.8,65,71037
2052,Exit Through the Gift Shop,(2010),7.9,85,67824
2053,Jackass 3D,(2010),7.0,56,67534
2054,Jûsan-nin no shikaku,(2010),7.5,84,67364
2055,Takers,(2010),6.2,45,64687
2056,Charlie St. Cloud,(2010),6.4,37,63881
2057,When in Rome,(2010),5.5,25,63745
2058,Jonah Hex,(2010),4.7,33,60552
2059,Going the Distance,(2010),6.3,51,59498
2060,Step Up 3D,(2010),6.2,45,59446
2061,Animal Kingdom,(2010),7.2,83,59336
2062,All Good Things,(2010),6.3,57,58269
2063,Diary of a Wimpy Kid,(2010),6.2,56,55122
2064,Hesher,(2010),6.9,45,53518
2065,You Again,(2010),5.7,28,53504
2066,How Do You Know,(2010),5.4,46,53419
2067,Death at a Funeral,(2010),5.7,51,52419
2068,Everything Must Go,(2010),6.4,65,52390
2069,The Back-up Plan,(2010),5.3,34,51297
2070,The Last Exorcism,(2010),5.7,63,51205
2071,Rabbit Hole,(2010),7.0,76,50490
2072,Vampires Suck,(2010),3.4,18,50448
2073,Fair Game,(I) (2010),6.8,69,50338
2074,The Runaways,(2010),6.5,65,50298
2075,Black Death,(2010),6.4,71,50101
2076,Una sola noche,(I) (2010),6.5,50,50020
2077,Don't Be Afraid of the Dark,(2010),5.5,56,49940
2078,London Boulevard,(2010),6.2,52,49726
2079,Tooth Fairy,(I) (2010),5.0,36,48495
2080,The Company Men,(2010),6.7,69,47364
2081,Conocerás al hombre de tus sueños,(2010),6.3,51,47051
2082,MacGruber,(2010),5.6,43,46620
2083,En un rincón del corazón,(2010),6.3,67,45943
2084,The Spy Next Door,(2010),5.4,27,45917
2085,Conviction,(II) (2010),7.2,61,45273
2086,The Ward,(2010),5.5,38,43879
2087,Stake Land,(2010),6.4,66,43563
2088,Trust,(I) (2010),6.9,60,43514
2089,Catfish,(2010),7.1,65,43436
2090,13,(I) (2010),6.0,29,43166
2091,Stone,(2010),5.4,58,42351
2092,Hævnen,(2010),7.6,65,40959
2093,Wild Target,(2010),6.7,41,39459
2094,Rubber,(2010),5.7,59,39069
2095,Greenberg,(2010),6.2,76,38848
2096,Cyrus,(I) (2010),6.3,74,36332
2097,L'illusionniste,(2010),7.5,82,36051
2098,6 Souls,(2010),6.0,28,35646
2099,Nanny McPhee and the Big Bang,(2010),6.1,52,35482
2100,El asesino dentro de mi,(2010),6.1,53,35179
2101,The Whistleblower,(2010),7.1,59,35148
2102,The Way,(I) (2010),7.3,64,34403
2103,"Tomorrow, When the War Began",(2010),6.1,54,31654
2104,Rare Exports,(2010),6.6,71,30670
2105,Another Year,(2010),7.4,81,30369
2106,Happythankyoumoreplease,(2010),6.7,45,30332
2107,Les amours imaginaires,(2010),7.1,70,29900
2108,Secretariat,(2010),7.2,61,29825
2109,The Conspirator,(2010),6.9,55,29541
2110,Boy,(I) (2010),7.5,70,28314
2111,The Perfect Host,(2010),6.7,48,27885
2112,L'arnacoeur,(2010),6.7,59,27274
2113,Vanishing on 7th Street,(2010),4.9,50,26927
2114,The Warrior's Way,(2010),6.2,45,26885
2115,Les petits mouchoirs,(2010),7.1,50,26384
2116,Copie conforme,(2010),7.2,82,25913
2117,Barney's Version,(2010),7.3,67,25786
2118,Welcome to the Rileys,(2010),6.9,50,24939
2119,Harry Potter y las reliquias de la muerte (parte 2),(2011),8.1,85,913915
2120,The Intouchables,(2011),8.5,57,894392
2121,Thor,(2011),7.0,57,878830
2122,El primer vengador,(2011),6.9,66,874462
2123,X-Men: Primera Generación,(2011),7.7,65,710211
2124,Drive,(I) (2011),7.8,78,678267
2125,Sin límites,(I) (2011),7.4,59,595671
2126,Piratas del Caribe: Navegando en aguas misteriosas,(2011),6.6,45,547847
2127,El planeta de los simios: (R)evolución,(2011),7.6,68,544890
2128,"Crazy, Stupid, Love.",(2011),7.4,68,541728
2129,Source Code,(2011),7.5,74,535635
2130,¿Qué pasó ayer? 2,(2011),6.5,44,519807
2131,Mission: Impossible - Ghost Protocol,(2011),7.4,73,515471
2132,Warrior,(2011),8.1,71,486325
2133,La Chica del Dragón Tatuado,(2011),7.8,71,479558
2134,Historias cruzadas,(2011),8.1,62,477947
2135,Sherlock Holmes: A Game of Shadows,(2011),7.4,48,470089
2136,Como acabar con tu jefe,(2011),6.9,57,461433
2137,El juego de la fortuna,(2011),7.6,87,447008
2138,Medianoche en París,(2011),7.7,81,439045
2139,The Cabin in the Woods,(2011),7.0,72,435801
2140,El precio del mañana,(2011),6.7,53,429561
2141,Transformers 3: El lado oscuro de la luna,(2011),6.2,42,424341
2142,Rapidos y Furiosos 5,(2011),7.3,66,397631
2143,Amigos con beneficios,(2011),6.5,63,384063
2144,Super 8,(2011),7.0,72,362777
2145,Gigantes de acero,(2011),7.1,56,345126
2146,50/50,(2011),7.6,72,337872
2147,La invención de Hugo Cabret,(2011),7.5,83,330695
2148,Contagion,(2011),6.8,70,310601
2149,Kung Fu Panda 2,(2011),7.2,67,303621
2150,Bridesmaids,(I) (2011),6.8,75,302780
2151,Linterna verde,(2011),5.5,39,291507
2152,Rango,(2011),7.2,75,283171
2153,Unknown,(I) (2011),6.8,56,266508
2154,Los agentes del destino,(2011),7.0,60,264399
2155,Paul,(2011),6.9,57,261345
2156,Un día para sobrevivir,(2011),6.7,64,258650
2157,Una esposa de mentiras,(2011),6.4,33,256566
2158,Jodaeiye Nader az Simin,(2011),8.3,95,252099
2159,The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45,248393
2160,Mundo surreal: Sucker Punch,(2011),6.0,33,248014
2161,The Lincoln Lawyer,(2011),7.3,63,247547
2162,Los descendientes,(2011),7.3,84,246773
2163,El artista,(I) (2011),7.9,89,245827
2164,I Am Number Four,(2011),6.1,36,242957
2165,Rio,(2011),6.9,63,240347
2166,No Strings Attached,(I) (2011),6.2,50,239028
2167,The Adventures of Tintin,(2011),7.3,68,238397
2168,Cowboys & Aliens,(2011),6.0,50,227847
2169,The Ides of March,(2011),7.1,67,227397
2170,Serbuan maut,(2011),7.6,73,212167
2171,Malas enseñanzas,(2011),5.6,47,208908
2172,Tinker Tailor Soldier Spy,(2011),7.0,85,208141
2173,Cars 2,(2011),6.2,57,205990
2174,Hanna,(2011),6.8,65,203966
2175,Shame,(2011),7.2,72,201852
2176,The Change-Up,(2011),6.3,39,190665
2177,Melancolía,(2011),7.1,81,190058
2178,El gato con botas,(2011),6.6,65,185153
2179,Invasión del Mundo: Batalla Los Ángeles,(2011),5.7,37,183293
2180,El árbol de la vida,(2011),6.8,85,181414
2181,Immortals,(2011),6.0,46,173611
2182,The Mechanic,(2011),6.5,49,166878
2183,Scream 4,(2011),6.2,52,164279
2184,The Green Hornet,(2011),5.8,39,163087
2185,We Need to Talk About Kevin,(2011),7.5,68,162713
2186,Caballo de guerra,(2011),7.2,72,162415
2187,La piel que habito,(2011),7.6,70,160353
2188,One Day,(2011),7.0,48,159645
2189,Robo en las alturas,(2011),6.2,59,148652
2190,We Bought a Zoo,(2011),7.1,58,148451
2191,The Thing,(I) (2011),6.2,49,141422
2192,Margin Call,(2011),7.1,76,139392
2193,Johnny English recargado,(2011),6.3,46,137208
2194,Killer Elite,(2011),6.4,44,133577
2195,J. Edgar,(2011),6.5,59,131661
2196,¿Sabes quien viene?,(2011),7.1,61,130525
2197,Hall Pass,(2011),5.9,45,129007
2198,El vengador fantasma 2: Espíritu de venganza,(2011),4.3,34,123769
2199,El vengador,(2011),5.7,41,122498
2200,Destino Final 5,(2011),5.9,50,121472
2201,Agua para elefantes,(2011),6.9,52,118939
2202,La chica de la capa roja,(2011),5.4,29,114368
2203,La dama de hierro,(2011),6.4,52,112138
2204,Fright Night,(2011),6.4,64,110498
2205,The Three Musketeers,(2011),5.7,35,110434
2206,Attack the Block,(2011),6.7,75,109863
2207,The Rum Diary,(2011),6.1,56,106958
2208,A Dangerous Method,(2011),6.4,76,106662
2209,Tú eres el próximo,(2011),6.6,66,105642
2210,Hodejegerne,(2011),7.5,72,105097
2211,Colombiana,(2011),6.4,45,104951
2212,30 Minutes or Less,(2011),6.1,49,104847
2213,Take Shelter,(2011),7.3,85,104705
2214,Tan Fuerte y Tan Cerca,(2011),6.9,46,104032
2215,Your Highness,(2011),5.5,31,103309
2216,Los pingüinos de Papá,(2011),6.0,53,102735
2217,Infierno al volante,(2011),5.4,44,102010
2218,Conan the Barbarian,(2011),5.1,36,101259
2219,The Rite,(2011),6.0,38,101108
2220,Another Earth,(2011),6.9,66,98229
2221,Paranormal Activity 3,(2011),5.8,59,98018
2222,The Best Exotic Marigold Hotel,(2011),7.2,62,97873
2223,Temporada de brujas,(2011),5.4,28,96575
2224,The Muppets,(2011),7.1,75,95282
2225,Los pitufos,(2011),5.4,30,94248
2226,Detachment,(2011),7.7,52,93779
2227,The Guard,(2011),7.3,78,93156
2228,Jane Eyre,(2011),7.3,76,91231
2229,Our Idiot Brother,(2011),6.4,60,89692
2230,Goon,(2011),6.8,64,89306
2231,Haywire,(2011),5.8,67,88774
2232,My Week with Marilyn,(2011),6.9,65,88690
2233,Año Nuevo,(2011),5.6,22,88306
2234,Jack and Jill,(I) (2011),3.3,23,88203
2235,Young Adult,(2011),6.3,71,86234
2236,The Inbetweeners Movie,(2011),6.7,44,85180
2237,What's Your Number?,(2011),6.0,35,84540
2238,Abduction,(I) (2011),5.1,25,82368
2239,Killer Joe,(2011),6.7,62,81213
2240,Beastly,(2011),5.5,40,79021
2241,Justin Bieber: Never Say Never,(2011),1.7,52,76373
2242,The Eagle,(2011),6.2,55,72439
2243,The Sitter,(2011),5.6,39,71873
2244,A Very Harold & Kumar 3D Christmas,(2011),6.2,61,71502
2245,God Bless America,(2011),7.1,56,71305
2246,Larry Crowne,(2011),6.1,41,69526
2247,Dream House,(2011),6.0,35,68326
2248,The Awakening,(I) (2011),6.4,53,68058
2249,Machine Gun Preacher,(2011),6.7,43,67971
2250,Salmon Fishing in the Yemen,(2011),6.8,58,66271
2251,Red State,(2011),6.1,50,66088
2252,"Jeff, Who Lives at Home",(2011),6.5,60,64937
2253,Something Borrowed,(2011),5.8,36,64095
2254,El guardián del zoológico,(2011),5.2,30,63776
2255,Operación Regalo,(2011),7.1,69,63728
2256,The Devil's Double,(2011),7.1,52,63300
2257,La última noche de la humanidad,(2011),4.9,18,62838
2258,Like Crazy,(2011),6.6,68,62728
2259,Perfect Sense,(2011),7.0,55,62385
2260,Bernie,(2011),6.8,75,62159
2261,Grave Encounters,(2011),6.1,33,61673
2262,The Art of Getting By,(2011),6.5,36,60167
2263,Gnomeo & Juliet,(2011),5.9,53,58101
2264,Apollo 18,(2011),5.2,24,57023
2265,Sanctum,(2011),5.9,42,56686
2266,El dilema,(2011),5.3,46,56252
2267,Don 2,(2011),7.1,49,55821
2268,Martha Marcy May Marlene,(2011),6.8,75,54810
2269,Win Win,(2011),7.1,75,54737
2270,Jin ling shi san chai,(2011),7.5,46,54570
2271,Take Me Home Tonight,(2011),6.3,42,54567
2272,Arturo Millonario Irresistible,(I) (2011),5.7,36,52596
2273,Footloose,(2011),5.8,58,51935
2274,Soul Surfer,(2011),7.0,53,51589
2275,Kill the Irishman,(2011),7.0,50,50159
2276,Mi otro yo,(2011),6.6,60,50082
2277,Bir Zamanlar Anadolu'da,(2011),7.8,82,48448
2278,Kokuriko-zaka kara,(2011),7.4,71,48446
2279,Hobo with a Shotgun,(2011),6.1,55,47784
2280,Seeking Justice,(2011),6.1,38,47314
2281,Monte Carlo,(2011),5.8,43,47034
2282,The Big Year,(2011),6.2,53,46897
2283,Happy Feet Two,(2011),5.8,50,46636
2284,Mientras duermes,(2011),7.2,70,45150
2285,Ra.One,(2011),4.7,60,45013
2286,Trespass,(2011),5.3,37,44660
2287,Kill List,(2011),6.4,67,43521
2288,Ironclad,(2011),6.1,42,43105
2289,Friends with Kids,(2011),6.1,55,42860
2290,Anonymous,(I) (2011),6.8,50,41697
2291,The Human Centipede II (Full Sequence),(2011),3.8,17,41405
2292,The Hunter,(IV) (2011),6.7,63,40570
2293,The Roommate,(I) (2011),4.8,23,40518
2294,Cedar Rapids,(2011),6.3,70,39146
2295,Alvin y las ardillas 3,(2011),4.3,24,37979
2296,The Divide,(2011),5.8,28,37914
2297,Samsara,(I) (2011),8.4,65,37248
2298,Jiro Dreams of Sushi,(2011),7.8,77,37225
2299,The Innkeepers,(2011),5.5,64,36498
2300,Un lugar donde quedarse,(2011),6.7,61,36408
